Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2017/11/28, 00:00:00, 412.50, 412.50, 412.25, 412.50, 134, 48, 71, 63
2017/11/28, 00:05:00, 412.50, 412.75, 412.50, 412.50, 79, 23, 31, 48
2017/11/28, 00:10:00, 412.50, 412.50, 412.50, 412.50, 92, 39, 52, 40
2017/11/28, 00:15:00, 412.25, 412.25, 412.25, 412.25, 18, 14, 18, 0
2017/11/28, 00:20:00, 412.25, 412.25, 412.25, 412.25, 30, 18, 30, 0
2017/11/28, 00:25:00, 412.50, 412.50, 412.25, 412.50, 24, 18, 19, 5
2017/11/28, 00:30:00, 412.50, 412.50, 412.50, 412.50, 12, 8, 0, 12
2017/11/28, 00:45:00, 412.25, 412.25, 412.25, 412.25, 32, 26, 32, 0
2017/11/28, 00:50:00, 412.25, 412.50, 412.25, 412.50, 27, 21, 26, 1
2017/11/28, 00:55:00, 412.25, 412.25, 412.00, 412.00, 51, 25, 50, 1
2017/11/28, 01:00:00, 412.00, 412.00, 412.00, 412.00, 17, 13, 17, 0
2017/11/28, 01:05:00, 412.00, 412.25, 412.00, 412.00, 38, 25, 21, 17
2017/11/28, 01:10:00, 412.00, 412.25, 412.00, 412.00, 55, 34, 52, 3
2017/11/28, 01:15:00, 412.25, 412.25, 412.00, 412.00, 21, 13, 16, 5
2017/11/28, 01:20:00, 412.25, 412.25, 412.00, 412.00, 17, 10, 16, 1
2017/11/28, 01:25:00, 412.00, 412.00, 412.00, 412.00, 17, 10, 17, 0
2017/11/28, 01:30:00, 412.00, 412.00, 412.00, 412.00, 16, 9, 16, 0
2017/11/28, 01:35:00, 412.25, 412.25, 412.00, 412.00, 144, 50, 19, 125
2017/11/28, 01:40:00, 412.25, 412.25, 412.00, 412.00, 3, 3, 1, 2
2017/11/28, 01:45:00, 412.25, 412.25, 412.25, 412.25, 14, 12, 0, 14
2017/11/28, 01:50:00, 412.25, 412.25, 412.25, 412.25, 7, 6, 0, 7
2017/11/28, 01:55:00, 412.25, 412.25, 412.25, 412.25, 1, 1, 0, 1
2017/11/28, 02:00:00, 412.25, 412.50, 412.25, 412.25, 152, 50, 29, 123
2017/11/28, 02:05:00, 412.25, 412.50, 412.25, 412.25, 30, 22, 27, 3
2017/11/28, 02:10:00, 412.50, 412.50, 412.25, 412.50, 11, 11, 2, 9
2017/11/28, 02:15:00, 412.25, 412.50, 412.25, 412.50, 17, 13, 3, 14
2017/11/28, 02:20:00, 412.25, 412.50, 412.00, 412.25, 161, 52, 143, 18
2017/11/28, 02:25:00, 412.00, 412.25, 412.00, 412.00, 188, 113, 156, 32
2017/11/28, 02:30:00, 412.00, 412.00, 412.00, 412.00, 14, 11, 14, 0
2017/11/28, 02:35:00, 412.00, 412.25, 412.00, 412.25, 263, 143, 242, 21
