Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2019/03/01,0:00:00,114 16.75/32,114 17/32,114 16.75/32,114 16.75/32,653,107,524,129
2019/03/01,0:05:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,4,2,4,0
2019/03/01,0:10:00,114 16.75/32,114 17/32,114 16.75/32,114 16.75/32,404,85,306,98
2019/03/01,0:15:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,1021,106,314,707
2019/03/01,0:20:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,521,49,296,225
2019/03/01,0:25:00,114 17/32,114 17/32,114 17/32,114 17/32,256,39,50,206
2019/03/01,0:30:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,226,60,175,51
2019/03/01,0:35:00,114 16.75/32,114 16.75/32,114 16.5/32,114 16.75/32,938,164,338,600
2019/03/01,0:40:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,262,37,3,259
2019/03/01,0:45:00,114 16.5/32,114 16.75/32,114 16.5/32,114 16.75/32,54,11,51,3
2019/03/01,0:50:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,219,27,0,219
2019/03/01,0:55:00,114 16.75/32,114 16.75/32,114 16.75/32,114 16.75/32,29,7,0,29
2019/03/01,1:00:00,114 16.5/32,114 16.75/32,114 16.25/32,114 16.25/32,1155,179,878,277
2019/03/01,1:05:00,114 16.25/32,114 16.5/32,114 16.25/32,114 16.5/32,1122,223,434,688
2019/03/01,1:10:00,114 16.5/32,114 16.5/32,114 16.5/32,114 16.5/32,531,152,242,289
2019/03/01,1:15:00,114 16.5/32,114 16.5/32,114 15.75/32,114 16.25/32,1099,167,805,294
2019/03/01,1:20:00,114 16.25/32,114 16.25/32,114 16/32,114 16/32,1759,259,824,935
2019/03/01,1:25:00,114 16.25/32,114 16.25/32,114 16/32,114 16/32,1056,136,814,242
2019/03/01,1:30:00,114 16/32,114 16/32,114 15.5/32,114 16/32,923,144,591,332
2019/03/01,1:35:00,114 16/32,114 16/32,114 15.75/32,114 16/32,1898,268,1097,801
2019/03/01,1:40:00,114 16/32,114 16.25/32,114 16/32,114 16/32,1406,194,314,1092
2019/03/01,1:45:00,114 16/32,114 16/32,114 15.75/32,114 15.75/32,346,56,218,128
2019/03/01,1:50:00,114 15.75/32,114 16/32,114 15.75/32,114 15.75/32,631,114,385,246
2019/03/01,1:55:00,114 15.75/32,114 16/32,114 15.75/32,114 15.75/32,565,62,147,418
2019/03/01,2:00:00,114 16/32,114 16.25/32,114 16/32,114 16.25/32,3276,325,1174,2102
2019/03/01,2:05:00,114 16.25/32,114 16.25/32,114 16/32,114 16/32,686,187,465,221
2019/03/01,2:10:00,114 16/32,114 16/32,114 15.5/32,114 15.75/32,2629,377,1651,978
2019/03/01,2:15:00,114 15.75/32,114 16.25/32,114 15.75/32,114 16/32,1408,268,666,742
2019/03/01,2:20:00,114 16/32,114 16.25/32,114 15.75/32,114 16/32,744,155,115,629
2019/03/01,2:25:00,114 16.25/32,114 16.25/32,114 16/32,114 16.25/32,649,160,307,342
2019/03/01,2:30:00,114 16.25/32,114 16.25/32,114 16/32,114 16.25/32,1446,289,854,592
2019/03/01,2:35:00,114 16.25/32,114 16.5/32,114 16.25/32,114 16.25/32,3089,339,1680,1409
2019/03/01,2:40:00,114 16.25/32,114 16.25/32,114 16/32,114 16.25/32,700,158,348,352
2019/03/01,2:45:00,114 16/32,114 16/32,114 15.5/32,114 15.5/32,948,152,727,221
2019/03/01,2:50:00,114 15.75/32,114 15.75/32,114 15.5/32,114 15.75/32,1116,194,414,702
2019/03/01,2:55:00,114 15.5/32,114 16/32,114 15.5/32,114 16/32,1216,294,334,882
2019/03/01,3:00:00,114 15.75/32,114 15.75/32,114 15.75/32,114 15.75/32,1123,226,667,456
2019/03/01,3:05:00,114 16/32,114 16/32,114 15.25/32,114 15.25/32,1272,234,715,557
2019/03/01,3:10:00,114 15.25/32,114 15.5/32,114 15/32,114 15/32,3346,487,1435,1911
2019/03/01,3:15:00,114 15/32,114 15/32,114 14.5/32,114 14.5/32,4518,465,3206,1312
2019/03/01,3:20:00,114 14.75/32,114 14.75/32,114 14.25/32,114 14.5/32,4760,482,2824,1936
2019/03/01,3:25:00,114 14.5/32,114 14.5/32,114 14.25/32,114 14.25/32,3349,493,1845,1504
2019/03/01,3:30:00,114 14.25/32,114 14.5/32,114 14.25/32,114 14.5/32,440,77,360,80
2019/03/01,3:35:00,114 14.5/32,114 14.75/32,114 14.5/32,114 14.5/32,2105,449,829,1276
2019/03/01,3:40:00,114 14.5/32,114 14.75/32,114 14.5/32,114 14.5/32,1144,192,784,360
